age	weight	height	attr	sex	horm	mearche	hetero	steady	looking	number_sex1	number_sex2	number_sex3	SOI1	SOI2	SOI3	SOI4	SOI5	SOI6	scan1	scan2	scan3	scan4	scan5	scan6	scan7	scan8	scan9	scan10
18	68	184	7	1	NA	NA	1	2	2	1	1	1	4	3	2	4	4	2	4	6	3	5	3	3	3	6	3	2
23	77	185	7	1	NA	NA	1	1	NA	2	1	1	4	2	3	3	3	3	4	5	4	5	5	4	4	5	4	5
23	80	190	7	1	NA	NA	1	2	2	3	4	5	5	4	2	5	4	4	3	4	5	6	6	2	1	4	3	7
21	55	180	7	2	1	13	1	2	3	1	1	1	3	4	3	4	2	3	5	4	6	3	5	5	3	6	5	6
20	64	180	8	1	NA	NA	3	2	1	2	1	1	5	2	3	4	2	3	6	3	4	4	3	5	6	6	2	3
26	83	192	7	1	NA	NA	1	1	NA	2	4	3	2	5	1	5	5	5	4	5	5	6	6	3	3	5	4	6
25	85	190	8	1	NA	NA	1	1	NA	2	1	2	5	3	3	5	4	4	2	4	4	5	5	5	6	5	5	4
24	61	175	7	1	NA	NA	1	2	1	1	1	2	3	2	2	2	2	2	7	1	5	2	7	6	6	7	7	4
19	47	164	5	2	1	13	1	1	NA	3	1	1	4	2	2	1	1	2	6	5	6	5	4	2	6	6	4	7
21	80	170	3	2	1	12	1	2	1	1	1	1	4	3	3	5	2	1	2	2	4	1	4	7	7	7	2	3
18	75	172	7	2	2	11	4	2	3	1	1	1	3	1	5	1	1	1	3	4	3	3	5	4	1	5	3	3
21	58	165	7	2	1	12	1	2	1	3	3	3	4	3	2	4	3	2	5	4	4	4	4	5	5	5	4	5
19	73	183	7	1	NA	NA	1	1	NA	2	1	1	3	4	2	2	1	1	3	5	5	5	7	3	3	6	4	6
23	63	177	8	1	NA	NA	1	1	NA	2	3	3	5	5	1	3	3	3	1	3	4	4	5	4	2	6	4	5
23	67	163	7	2	2	13	1	1	NA	2	1	1	1	1	5	1	1	1	3	5	6	3	2	1	7	5	5	8
18	61	175	6	1	NA	NA	1	1	NA	2	2	1	4	4	3	1	1	2	2	2	6	7	2	2	8	5	3	6
21	70	164	6	2	2	19	1	2	1	3	2	2	5	3	2	3	3	1	6	2	3	5	5	3	2	3	3	7
27	75	178	7	2	1	14	1	1	NA	2	1	1	5	3	2	2	1	1	5	3	2	4	3	8	5	7	4	4
20	60	160	7	2	1	13	1	1	NA	3	3	1	2	2	2	2	2	2	3	3	3	3	3	6	5	6	6	5
25	61	165	7	2	1	11	1	1	NA	2	1	1	4	2	5	2	2	1	4	5	4	4	3	4	4	4	4	5
20	60	168	5	2	1	12	1	1	NA	2	3	1	2	1	4	2	2	1	6	3	4	3	5	6	4	3	3	6
20	70	167	6	2	1	16	2	2	1	1	1	1	4	2	3	4	2	4	6	4	4	5	3	3	2	3	4	6
37	90	190	8	1	NA	NA	1	1	NA	2	3	3	5	4	1	4	3	4	3	4	5	6	7	2	2	3	3	5
24	56	164	6	2	1	13	1	1	NA	2	1	2	4	1	1	2	2	2	5	1	1	4	5	5	6	6	2	3
21	66	177	6	2	2	13	1	2	1	2	2	3	2	2	2	4	1	1	5	6	3	2	2	4	3	2	2	7
21	63	172	6	1	NA	NA	2	1	NA	2	3	3	5	4	3	4	2	2	7	2	1	1	7	8	5	5	4	2
29	60	170	7	2	1	15	1	1	NA	2	5	3	5	4	2	3	3	2	4	4	4	4	5	4	6	5	4	5
19	48	165	7	2	1	13	1	1	NA	2	1	3	4	4	3	3	2	2	3	4	4	3	5	5	3	6	4	3
20	0	164	7	2	1	15	1	1	NA	2	1	1	3	2	4	1	1	1	3	6	6	6	3	5	3	3	3	4
18	80	181	6	2	1	12	1	1	NA	2	1	1	1	2	4	2	2	2	6	3	4	2	7	7	4	3	4	5
26	73	186	8	2	2	16	1	1	NA	4	2	3	4	4	1	2	2	1	6	4	4	3	4	3	5	6	3	6
18	63	175	6	1	NA	NA	1	2	2	2	2	2	5	5	2	3	2	3	3	3	3	5	5	4	6	6	3	6
20	65	170	8	2	1	13	1	1	NA	3	4	4	5	4	2	2	3	2	6	2	1	7	4	1	1	2	7	7
20	63	167	8	2	2	13	1	2	3	1	1	1	4	2	3	2	1	1	7	1	1	5	1	4	5	8	2	7
25	74.5	180	5	1	NA	NA	1	2	1	1	2	2	3	1	5	5	2	1	2	5	5	7	7	4	1	3	3	7
24	54	168	8	2	1	14	1	1	NA	2	1	1	3	1	4	2	3	2	6	4	4	4	4	5	3	3	3	6
24	70	170	5	2	1	13	1	1	NA	2	1	1	2	1	3	1	2	1	3	2	3	2	3	2	3	5	3	5
